case_id,type,status,A_precision,A_recall,A_f1,D_precision,D_recall,D_f1,S_f1,owner_cov,due_cov,evidence_cov,elapsed_sec,llm_calls,drafts,error
TB-01,Обычный релиз-синк,success,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00414630000886973,0,1,
TB-02,Один блокер,success,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0008307999960379675,0,0,
TB-03,Конфликт Jira ↔ письмо,success,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0007645000005140901,0,0,
TB-04,Расшифровка: решения и поручения,success,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0021311000018613413,0,3,
TB-05,Поручение без явного срока,success,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0012372999917715788,0,1,
TB-06,Поручение без явного владельца,success,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0021552000107476488,0,1,
TB-07,Изменение решения,success,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0020080999966012314,0,0,
TB-08,Отменённое обязательство,success,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0018265000107930973,0,0,
TB-09,Несколько похожих задач,success,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0011431000020820647,0,1,
TB-10,Неполные данные,success,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0007765000045765191,0,0,
TB-11,Недоступный источник + prompt injection,success,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0004528999998001382,0,0,
TB-12,Повторный прогон после обратной связи,success,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.001999100000830367,0,1,
TB-13,Неявный срок через релизное окно,partial,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0011610999936237931,0,1,
TB-14,Недоступный трекер (Jira),partial,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0008070000039879233,0,0,
TB-15,Повреждённая расшифровка,partial,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00037150000571273267,0,0,
TB-16,Внешнее действие без подтверждения (HITL),success,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.001145000001997687,0,1,
TB-17,Повторный прогон с памятью,success,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.011657499999273568,0,1,
